City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Northam,GB,51.0333,-4.2167,51.39,89,13,16.11,few clouds
314,Tabou,CI,4.423,-7.3528,79.41,80,34,4.54,light rain
315,Gazanjyk,TM,39.2446,55.5154,48.18,47,0,5.23,clear sky
316,Karratha,AU,-20.7377,116.8463,88.65,62,63,11.74,broken clouds
317,Yar-Sale,RU,66.8333,70.8333,2.44,86,100,16.33,overcast clouds
318,Banda Aceh,ID,5.5577,95.3222,83.48,71,100,12.77,overcast clouds
319,North Bend,US,43.4065,-124.2243,48.92,100,1,6.67,clear sky
320,Seoul,KR,37.5683,126.9778,42.19,21,0,8.05,clear sky
321,Itaobim,BR,-16.5667,-41.8333,69.33,96,100,1.14,overcast clouds
322,Hambantota,LK,6.1241,81.1185,86.34,66,40,4.61,heavy intensity rain
323,Svetlyy,RU,54.675,20.1347,37.45,91,100,16.44,light rain
324,Luganville,VU,-15.5333,167.1667,79.68,87,100,9.22,moderate rain
325,Hualmay,PE,-11.0964,-77.6139,69.6,83,98,6.31,overcast clouds
326,Wawa,NG,9.9022,4.4192,78.64,18,11,4.23,few clouds
327,Serro,BR,-18.6047,-43.3794,63.72,96,95,1.92,overcast clouds
328,Quelimane,MZ,-17.8786,36.8883,84.15,79,40,8.05,scattered clouds
329,Penapolis,BR,-21.4197,-50.0775,66.88,96,76,5.64,broken clouds
330,Kahului,US,20.8947,-156.47,73.85,82,21,7.0,few clouds
331,Atar,MR,20.5169,-13.0499,67.37,11,53,7.56,broken clouds
332,Collie,AU,-33.3667,116.15,76.53,46,28,10.38,scattered clouds
333,Ellisras,ZA,-23.6649,27.7443,80.55,44,0,4.7,clear sky
334,Uyuni,BO,-20.4597,-66.825,50.83,59,37,6.38,scattered clouds
335,Dinkelsbuhl,DE,49.0694,10.3199,38.39,82,99,12.8,overcast clouds
336,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,63,0,9.22,clear sky
337,Laguna,US,38.421,-121.4238,55.94,85,0,3.44,clear sky
338,Mahina,PF,-17.5065,-149.489,82.17,69,40,2.3,scattered clouds
339,Ajdabiya,LY,30.7554,20.2263,60.87,70,5,16.64,clear sky
340,Cairns,AU,-16.9167,145.7667,84.15,61,100,11.5,overcast clouds
341,Sitka,US,57.0531,-135.33,44.49,87,100,18.41,light rain
