City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Lokosovo,RU,2022-02-03 08:54:27,61.1333,74.8167,22.05,92,98,10.67
218,Victoria,HK,2022-02-03 08:51:34,22.2855,114.1577,57.33,81,100,5.99
219,Karratha,AU,2022-02-03 08:54:28,-20.7377,116.8463,86.92,59,89,17.22
220,Roald,NO,2022-02-03 08:54:29,62.5833,6.1333,37.09,60,75,17.27
221,Paidha,UG,2022-02-03 08:54:30,2.4167,30.9855,81.73,26,98,8.7
222,Sedalia,US,2022-02-03 08:54:31,38.7045,-93.2283,11.86,86,100,17.27
223,Cidreira,BR,2022-02-03 08:54:31,-30.1811,-50.2056,73.98,93,21,14.34
224,Robertsport,LR,2022-02-03 08:54:32,6.7533,-11.3686,77.49,84,45,5.48
225,Tomatlan,MX,2022-02-03 08:54:33,19.9333,-105.25,58.14,82,0,3.47
226,Kumluca,TR,2022-02-03 08:54:34,36.3703,30.2869,54.68,80,100,8.55
227,Umba,RU,2022-02-03 08:54:35,66.6871,34.3429,15.21,92,97,6.8
228,Vytegra,RU,2022-02-03 08:54:36,61.0064,36.4481,9.52,93,95,3.13
229,Dalbandin,PK,2022-02-03 08:54:37,28.8947,64.4101,58.53,17,0,1.25
230,Ribeira Grande,PT,2022-02-03 08:54:38,38.5167,-28.7,57.6,72,20,8.05
231,Port Augusta,AU,2022-02-03 08:54:39,-32.5,137.7667,83.71,41,0,22.44
232,Ambilobe,MG,2022-02-03 08:54:36,-13.2,49.05,85.14,67,100,9.35
233,Berlevag,NO,2022-02-03 08:55:40,70.8578,29.0864,22.95,86,75,5.75
234,Santander,ES,2022-02-03 08:55:41,43.4647,-3.8044,52.47,58,0,3.0
235,Flinders,AU,2022-02-03 08:55:42,-34.5833,150.8552,69.21,64,77,18.86
236,Sao Jose Da Coroa Grande,BR,2022-02-03 08:52:25,-8.8978,-35.1478,79.23,75,65,8.93
237,Oranjemund,NA,2022-02-03 08:55:43,-28.55,16.4333,72.41,68,58,9.06
238,Ust-Kuyga,RU,2022-02-03 08:55:44,70.0167,135.6,-33.84,99,98,3.44
239,Kodiak,US,2022-02-03 08:55:45,57.79,-152.4072,37.54,98,100,13.71
240,Dezful,IR,2022-02-03 08:55:45,32.3811,48.4058,65.71,27,15,3.0
241,Troitsk,RU,2022-02-03 08:55:46,54.0979,61.5773,24.15,90,100,13.56
242,Urucara,BR,2022-02-03 08:55:47,-2.5364,-57.76,72.88,93,100,2.42
243,Benguela,AO,2022-02-03 08:55:48,-12.5763,13.4055,80.13,60,10,7.14
244,Tilichiki,RU,2022-02-03 08:55:49,60.4667,166.1,2.5,83,98,11.65
245,Mercedes,AR,2022-02-03 08:55:50,-34.6515,-59.4307,67.84,81,100,6.33
246,Faanui,PF,2022-02-03 08:55:50,-16.4833,-151.75,80.89,77,14,19.39
247,Saint-Jerome,CA,2022-02-03 08:51:21,45.7804,-74.0036,34.57,96,100,4.61
248,Lebyazhye,RU,2022-02-03 08:55:52,55.2689,66.4947,22.24,91,35,11.81
249,Opuwo,NA,2022-02-03 08:55:53,-18.0607,13.84,80.42,26,19,3.78
250,Ilulissat,GL,2022-02-03 08:55:53,69.2167,-51.1,-2.25,65,100,9.73
